id,name,now_cost,position,team,ict_index_rank,influence_rank,influence_rank_type,starts_per_90,expected_assists,ep_this,status,threat_rank,clean_sheets,transfers_out,threat,dreamteam_count,chance_of_playing_this_round,form,cost_change_start_fall,form_rank_type,direct_freekicks_order,form_rank,expected_goals_per_90,clean_sheets_per_90,points_per_game_rank,starts,own_goals,ict_index_rank_type,penalties_missed,now_cost_rank_type,value_form,expected_goal_involvements_per_90,now_cost_rank,goals_conceded_per_90,expected_assists_per_90,web_name,news_added,selected_rank,selected_by_percent,assists,expected_goals,expected_goals_conceded,bonus,cost_change_start,saves,chance_of_playing_next_round,event_points,minutes,yellow_cards,threat_rank_type,corners_and_indirect_freekicks_order,ep_next,in_dreamteam,selected_rank_type,expected_goal_involvements,penalties_saved,influence,points_per_game,saves_per_90,creativity,creativity_rank,red_cards,ict_index,transfers_in,expected_goals_conceded_per_90,value_season,creativity_rank_type,total_points,goals_scored,bps,goals_conceded,news,points_per_game_rank_type,penalties_order
576,Jack Robinson,43,DEF,Sheffield Utd,171,92,31,0.97,0.93,-0.5,a,189,1,21964,190.0,0,100.0,0.5,2,88,,280,0.04,0.03,471,31,2,43,0,120,0.1,0.07,610,2.59,0.03,Robinson,2024-04-10T11:00:09.067248Z,443,0.1,1,1.13,62.50,1,-2,0,100.0,0,2883,10,38,,-0.4,False,177,2.06,0,602.8,1.0,0.0,162.1,237,0,95.7,18187,1.95,7.7,65,33,1,375,83,,168,
587,Anis Slimane,47,MID,Sheffield Utd,425,456,199,0.88,0.13,-0.5,a,315,1,5866,72.0,0,100.0,0.5,3,141,,312,0.21,0.22,539,4,1,193,0,209,0.1,0.24,324,3.08,0.03,Slimane,2024-02-29T14:30:10.309102Z,646,0.0,0,0.97,9.52,0,-3,0,100.0,0,409,2,159,,-0.6,False,243,1.10,0,41.6,0.9,0.0,46.7,382,0,16.1,1213,2.09,3.0,195,14,0,23,14,,251,
592,Yasser Larouci,43,DEF,Sheffield Utd,433,418,159,1.02,0.05,-0.5,a,369,0,5321,39.0,0,100.0,0.5,2,90,,282,0.04,0.0,536,6,0,155,0,144,0.1,0.05,648,1.88,0.01,Larouci,2023-12-30T22:30:10.422438Z,540,0.0,0,0.24,13.53,0,-2,0,100.0,0,527,1,125,,-0.8,False,210,0.29,0,80.8,0.9,0.0,27.8,416,0,14.8,2047,2.31,2.3,153,10,0,63,11,,178,
593,Bénie Traoré,51,FWD,Sheffield Utd,452,473,54,0.7,0.46,0.0,u,389,0,13479,31.0,0,0.0,0.0,4,99,,815,0.06,0.0,420,3,0,56,0,41,0.0,0.17,168,3.05,0.11,T.Bénie,2024-01-07T13:43:37.473896Z,608,0.0,0,0.27,11.66,0,-4,0,0.0,0,383,0,57,,0.0,False,84,0.73,0,25.8,1.4,0.0,56.7,366,0,11.2,7991,2.74,2.2,49,11,0,14,13,On loan to Nantes until the end of the season,52,
638,Vini de Souza Costa,50,MID,Sheffield Utd,205,106,41,0.98,0.46,0.5,a,220,1,7098,152.0,1,100.0,1.5,0,89,,182,0.02,0.03,321,29,0,107,0,124,0.3,0.04,203,2.7,0.02,Vini Souza,2023-08-10T15:30:07.083501Z,603,0.0,1,0.61,60.24,4,0,0,100.0,1,2664,3,120,,0.4,False,216,1.07,0,558.4,2.0,0.0,101.8,313,0,81.1,7232,2.04,14.6,174,73,1,357,80,,138,
653,Femi Seriki,39,DEF,Sheffield Utd,583,577,199,0.0,0.00,0.0,u,522,0,6961,0.0,0,0.0,0.0,1,132,,395,0.0,0.0,592,0,0,200,0,264,0.0,0.0,841,0.0,0.0,Seriki,2024-02-04T18:35:31.815466Z,478,0.1,0,0.00,0.00,0,-1,0,0.0,0,0,0,188,,0.0,False,188,0.00,0,0.0,0.0,0.0,0.0,565,0,0.0,6547,0.0,0.0,197,0,0,0,0,Season-long loan to Rotherham United,197,
654,Louie Marsh,45,FWD,Sheffield Utd,799,795,92,0.0,0.00,0.0,u,778,0,4932,0.0,0,0.0,0.0,0,75,,699,0.0,0.0,799,0,0,95,0,86,0.0,0.0,479,0.0,0.0,Marsh,2023-09-01T21:50:15.739167Z,634,0.0,0,0.00,0.00,0,0,0,0.0,0,0,0,93,,0.0,False,86,0.00,0,0.0,0.0,0.0,0.0,791,0,0.0,3568,0.0,0.0,93,0,0,0,0,Season-long loan to Doncaster Rovers,95,
655,Andre Brooks,44,MID,Sheffield Utd,403,405,171,1.16,0.24,0.0,a,313,1,6775,76.0,0,,1.0,1,103,,217,0.05,0.1,428,12,0,183,0,351,0.2,0.07,600,2.8,0.02,Brooks,,587,0.0,0,0.49,18.53,0,-1,0,,1,932,1,157,,0.4,False,206,0.73,0,88.6,1.3,0.0,51.9,373,0,21.8,7067,1.79,5.9,192,26,0,82,29,,191,
656,Antwoine Hackford,44,FWD,Sheffield Utd,722,719,75,0.0,0.00,0.0,u,686,0,12971,0.0,0,0.0,0.0,1,54,,591,0.0,0.0,478,0,0,77,0,106,0.0,0.0,584,8.18,0.0,Hackford,2024-02-02T15:31:33.418849Z,494,0.1,0,0.00,0.12,0,-1,0,0.0,0,11,0,74,,0.0,False,70,0.00,0,0.0,1.0,0.0,0.3,517,0,0.0,12007,0.98,0.5,67,2,0,5,1,On loan to Burton Albion until the end of the season,57,
663,Gustavo Hamer,49,MID,Sheffield Utd,48,96,37,1.05,4.59,1.0,a,133,2,77833,294.0,1,100.0,2.0,1,67,1.0,145,0.09,0.06,157,34,0,33,0,150,0.4,0.23,237,2.57,0.14,Hamer,2024-04-05T16:00:09.788041Z,357,0.2,7,3.00,62.07,5,-1,0,100.0,2,2908,9,87,2.0,2.8,False,107,7.58,0,581.2,3.0,0.0,929.8,20,0,180.4,87196,1.92,22.0,15,108,4,462,83,,69,
